source_hash,binary_sha256,command,cpu_system_s,cpu_user_s,cutoff_seconds,exit_code,peak_rss_kib,started_utc,status,stderr,stdout,usage,wall_ms
0227326bd81c1a30671b3ea98ab492dbd39ddde8182dc481a102f4371a64907f,e16cba6b48e4ce1b112f15e00f54a3f3cff3ae428ed42ea4a7d06adb25339e25,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/0227326bd81c1a30671b3ea98ab492dbd39ddde8182dc481a102f4371a64907f/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-32-backward-s47-d10-m1-verdict/input.dl']",0.62,8.52,300,0,493912,2026-09-14T08:59:08.849677+00:00,ok,paper/results/evaluation/compiled/0227326bd81c1a30671b3ea98ab492dbd39ddde8182dc481a102f4371a64907f/compile.stderr,paper/results/evaluation/compiled/0227326bd81c1a30671b3ea98ab492dbd39ddde8182dc481a102f4371a64907f/compile.stdout,paper/results/evaluation/compiled/0227326bd81c1a30671b3ea98ab492dbd39ddde8182dc481a102f4371a64907f/compile.time,9324.460685000304
0230cadc238ec34b0bd6031081f3b0dafd2bfaf52855ce2ccfee9f3ae1a8c595,72e82bacf04d235843f16759a2a19560d464f8ed07ed9b868dd8262aa7b4fe1d,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/0230cadc238ec34b0bd6031081f3b0dafd2bfaf52855ce2ccfee9f3ae1a8c595/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-32-forward-s11-d10-m1-verdict/input.dl']",0.56,8.14,300,0,493956,2026-09-14T08:55:22.570340+00:00,ok,paper/results/evaluation/compiled/0230cadc238ec34b0bd6031081f3b0dafd2bfaf52855ce2ccfee9f3ae1a8c595/compile.stderr,paper/results/evaluation/compiled/0230cadc238ec34b0bd6031081f3b0dafd2bfaf52855ce2ccfee9f3ae1a8c595/compile.stdout,paper/results/evaluation/compiled/0230cadc238ec34b0bd6031081f3b0dafd2bfaf52855ce2ccfee9f3ae1a8c595/compile.time,8870.946131999517
05a7f4c87510fd3a9d0e330df8c225c9d036f8af127ac9d0ea5675fd7e1a5005,0fa075ede3eb4ab7a4fb3691eec7e9a1e71660c8046935c9e0bdab1e66baf967,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/05a7f4c87510fd3a9d0e330df8c225c9d036f8af127ac9d0ea5675fd7e1a5005/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-16-backward-s131-d10-m1-verdict/input.dl']",0.58,8.43,300,0,494096,2026-09-14T09:00:42.532713+00:00,ok,paper/results/evaluation/compiled/05a7f4c87510fd3a9d0e330df8c225c9d036f8af127ac9d0ea5675fd7e1a5005/compile.stderr,paper/results/evaluation/compiled/05a7f4c87510fd3a9d0e330df8c225c9d036f8af127ac9d0ea5675fd7e1a5005/compile.stdout,paper/results/evaluation/compiled/05a7f4c87510fd3a9d0e330df8c225c9d036f8af127ac9d0ea5675fd7e1a5005/compile.time,9220.791351001026
0d5a737252f60f63eb9ddd8adadce8dd3280d1e02bc10e0cff80e3f803f91284,dcc6231fcec153095be27a1633470ebf11b37903881a8788362df1063d0b6343,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/0d5a737252f60f63eb9ddd8adadce8dd3280d1e02bc10e0cff80e3f803f91284/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-32-forward-s131-d10-m1-verdict/input.dl']",0.57,9.06,300,0,493716,2026-09-14T09:00:23.727273+00:00,ok,paper/results/evaluation/compiled/0d5a737252f60f63eb9ddd8adadce8dd3280d1e02bc10e0cff80e3f803f91284/compile.stderr,paper/results/evaluation/compiled/0d5a737252f60f63eb9ddd8adadce8dd3280d1e02bc10e0cff80e3f803f91284/compile.stdout,paper/results/evaluation/compiled/0d5a737252f60f63eb9ddd8adadce8dd3280d1e02bc10e0cff80e3f803f91284/compile.time,9774.274845000036
0d63bbb1ceb59719a3802b1b5fa889e8bec2e44ce4916d50fc8b85c97a1fc5d3,9c076ce74e3c28cecc98901b2a6bbf4911d8fa8ff1f44dcfe587adfe9af11e52,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/0d63bbb1ceb59719a3802b1b5fa889e8bec2e44ce4916d50fc8b85c97a1fc5d3/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-32-forward-s83-d10-m1-verdict/input.dl']",0.6,8.15,300,0,493956,2026-09-14T09:00:51.755885+00:00,ok,paper/results/evaluation/compiled/0d63bbb1ceb59719a3802b1b5fa889e8bec2e44ce4916d50fc8b85c97a1fc5d3/compile.stderr,paper/results/evaluation/compiled/0d63bbb1ceb59719a3802b1b5fa889e8bec2e44ce4916d50fc8b85c97a1fc5d3/compile.stdout,paper/results/evaluation/compiled/0d63bbb1ceb59719a3802b1b5fa889e8bec2e44ce4916d50fc8b85c97a1fc5d3/compile.time,8932.363984000403
1761a15e6dc6343bc39fa76a6e433017e18d2278b6120aa6642aeaf3476929a1,ffb6d57547eae44e26f7b3322b95f9e2a9fc535d52f152fa35771d9370911ca8,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/1761a15e6dc6343bc39fa76a6e433017e18d2278b6120aa6642aeaf3476929a1/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-32-forward-s47-d10-m1-verdict/input.dl']",0.55,8.49,300,0,493956,2026-09-14T08:56:57.511791+00:00,ok,paper/results/evaluation/compiled/1761a15e6dc6343bc39fa76a6e433017e18d2278b6120aa6642aeaf3476929a1/compile.stderr,paper/results/evaluation/compiled/1761a15e6dc6343bc39fa76a6e433017e18d2278b6120aa6642aeaf3476929a1/compile.stdout,paper/results/evaluation/compiled/1761a15e6dc6343bc39fa76a6e433017e18d2278b6120aa6642aeaf3476929a1/compile.time,9223.69438900023
1abda39f21dfd0f368665b55bbe29752c8f7adff0b0f0f11fdfc8e8ed492c799,b88ccbf2de4d120a2b81422a6d0740a100b6d6fd716dbaa9a95f5a1ca032fb5f,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/1abda39f21dfd0f368665b55bbe29752c8f7adff0b0f0f11fdfc8e8ed492c799/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-12-forward-s47-d10-m1-verdict/input.dl']",0.58,8.1,300,0,493932,2026-09-14T08:55:13.711222+00:00,ok,paper/results/evaluation/compiled/1abda39f21dfd0f368665b55bbe29752c8f7adff0b0f0f11fdfc8e8ed492c799/compile.stderr,paper/results/evaluation/compiled/1abda39f21dfd0f368665b55bbe29752c8f7adff0b0f0f11fdfc8e8ed492c799/compile.stdout,paper/results/evaluation/compiled/1abda39f21dfd0f368665b55bbe29752c8f7adff0b0f0f11fdfc8e8ed492c799/compile.time,8846.788418999495
251c9ea1292550325906a983eb2e7cb39a12af14b4480ad22ab8bbd90f803a40,968d37336b0baf8f3896092e1f089c6fa4a877a7a3447e401c554d222d5bfb9c,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/251c9ea1292550325906a983eb2e7cb39a12af14b4480ad22ab8bbd90f803a40/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-4-backward-s131-d10-m1-verdict/input.dl']",0.59,8.81,300,0,493940,2026-09-14T08:59:55.440541+00:00,ok,paper/results/evaluation/compiled/251c9ea1292550325906a983eb2e7cb39a12af14b4480ad22ab8bbd90f803a40/compile.stderr,paper/results/evaluation/compiled/251c9ea1292550325906a983eb2e7cb39a12af14b4480ad22ab8bbd90f803a40/compile.stdout,paper/results/evaluation/compiled/251c9ea1292550325906a983eb2e7cb39a12af14b4480ad22ab8bbd90f803a40/compile.time,9593.9110420004
25b972b31bb53eb5062c354613c5b8a01371db4ad0e9708dbd08ad659fd5ff34,5962d21a203cf31ad3a0eacbd442e7289cb70d25d155ae736d1f8d0c82e5f422,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/25b972b31bb53eb5062c354613c5b8a01371db4ad0e9708dbd08ad659fd5ff34/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-4-forward-s23-d10-m1-verdict/input.dl']",0.62,8.59,300,0,493924,2026-09-14T09:00:14.326996+00:00,ok,paper/results/evaluation/compiled/25b972b31bb53eb5062c354613c5b8a01371db4ad0e9708dbd08ad659fd5ff34/compile.stderr,paper/results/evaluation/compiled/25b972b31bb53eb5062c354613c5b8a01371db4ad0e9708dbd08ad659fd5ff34/compile.stdout,paper/results/evaluation/compiled/25b972b31bb53eb5062c354613c5b8a01371db4ad0e9708dbd08ad659fd5ff34/compile.time,9379.309425999963
28b21f1b19e5060c35a69a78301468045e64c406dfc572e408bf2ee583d9db84,0a58c34e5941c9d223641fe9c5e9c1a026fe000d39d13911c3006959d187f3aa,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/28b21f1b19e5060c35a69a78301468045e64c406dfc572e408bf2ee583d9db84/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-12-backward-s47-d10-m1-verdict/input.dl']",0.73,9.09,300,0,493912,2026-09-14T08:58:39.763068+00:00,ok,paper/results/evaluation/compiled/28b21f1b19e5060c35a69a78301468045e64c406dfc572e408bf2ee583d9db84/compile.stderr,paper/results/evaluation/compiled/28b21f1b19e5060c35a69a78301468045e64c406dfc572e408bf2ee583d9db84/compile.stdout,paper/results/evaluation/compiled/28b21f1b19e5060c35a69a78301468045e64c406dfc572e408bf2ee583d9db84/compile.time,10047.03241399875
